"anio","vab_patagonia","vab_nacional","share"
2004,39520.53556581616,412133.35020486126,9.58925928857043
2005,40779.46425487096,450159.22160393506,9.058897896075997
2006,43994.87016022842,484309.6625129409,9.08403725251979
2007,45021.78276080737,523195.7065562121,8.60515141784143
2008,45351.43992264198,542717.925876903,8.35635562421581
2009,43583.444710659045,511548.8541909042,8.519898804111914
2010,45959.71725084556,562690.3695298957,8.167852115408158
2011,48132.93131393248,593229.3608263814,8.11371359753372
2012,48396.13435520636,584806.0239448451,8.275587523662505
2013,49109.05501983764,597680.3037401829,8.216609232815843
2014,49099.61630467412,586828.4584501272,8.366945330898085
2015,51223.1802080023,602636.4702012395,8.499847377457465
2016,49179.253340271236,589294.494911215,8.345445912859025
2017,49324.984297523675,604495.7639559383,8.159690644435843
2018,49959.07870235423,588255.5893742138,8.49275036306934
2019,50560.00173988389,578772.5744464411,8.7357286734329609
2020,45788.35518039622,521449.47279921145,8.780976406898663
2021,50666.664375526096,575980.8749295024,8.796587973815534
2022,54881.47329167631,604504.1270822042,9.07875907424751
2023,56748.15068477084,595231.7464757795,9.533791001700205
2024,57957.57926311452,586860.6158444902,9.875867914515576
