"provincia","share_2004","share_2024","delta_pp"
"Neuquen",3.2447020897007017,4.372608907694012,1.1279068179933103
"Cordoba",7.853248807631037,8.567076007658175,0.7138272000271373
"Santiago del Estero",1.2534024269600488,1.5869173522413194,0.3335149252812706
"Entre Rios",2.5316839531111164,2.7625242257310525,0.23084027261993612
"Chaco",1.3580353803804126,1.5132793548953423,0.15524397451492966
"San Juan",1.1625804331168619,1.3133762341457866,0.15079580102892476
"Jujuy",0.8867970739645447,1.0349168960080035,0.14811982204345886
"Salta",1.762625213545093,1.8856250128325698,0.12299979928747673
"La Pampa",0.9283714077234109,1.0477202516372792,0.11934884391386835
"Corrientes",1.1591158918149287,1.2674365272259633,0.10832063541103465
"Tucuman",1.7996585567961174,1.89758031969082,0.09792176289470267
"Rio Negro",1.4179122141383937,1.4416648687351983,0.023752654596804534
"Tierra del Fuego",0.8079718110878397,0.8301857074079297,0.022213896320090076
"Misiones",1.3067787160472177,1.279866121904686,-0.026912594142531665
"Formosa",0.5491932325164818,0.522022324662568,-0.02717090785391374
"La Rioja",0.6115376281415965,0.5484001672556679,-0.06313746088592864
"Buenos Aires",31.995902921050746,31.867409188166064,-0.12849373288468158
"San Luis",1.0886084810392325,0.9498829693137861,-0.13872551172544634
"Catamarca",0.9360948863586078,0.653014752404443,-0.28308013395416487
"Santa Fe",8.477498820143065,8.181983182690624,-0.295515637452441
"Chubut",2.3164446506162895,1.874442343168452,-0.4420023074478374
"Santa Cruz",1.8022285230272055,1.356966087509985,-0.44526243551722056
"Mendoza",3.953682708199592,3.3347173968360226,-0.6189653113635694
"Ciudad de Buenos Aires",20.795924172889457,19.910383800184242,-0.8855403727052149
