"provincia","sector_lider","contribucion_pp","crecimiento_total","peso_sector_lider_pct","es_extractivo"
"Santa Cruz","Extracción de minerales metalíferos. Explotación de  minas y canteras n.c.p.",12.247304445084463,7.215195286121445,169.7432149708043,TRUE
"Neuquen","Extracción de carbón y lignito; extracción de turba. Extracción de petróleo crudo y gas natural; actividades de servicios relacionadas con la extracción de petróleo y gas, excepto las actividades de prospección.",51.47085244139768,91.89471426266597,56.010677931133976,TRUE
"Tierra del Fuego","Fabricación de equipos y aparatos de radio, televisión y comunicaciones",20.28136427409162,46.31075407985239,43.79407046389486,FALSE
"Santiago del Estero","Agricultura, ganaderia, caza y servicios conexos",33.931033678060516,80.28557662533981,42.262925800985244,FALSE
"San Juan","Extracción de minerales metalíferos. Explotación de  minas y canteras n.c.p.",20.195845785492715,60.86566168667689,33.18101738457476,TRUE
"La Pampa","Comercio mayorista, minorista y reparaciones",19.132604540994357,60.701817184276564,31.518997994594184,FALSE
"Entre Rios","Comercio mayorista, minorista y reparaciones",16.978248061406383,55.37953303932659,30.657983427468853,FALSE
"Ciudad de Buenos Aires","Resto",9.89391533727287,36.33225308285315,27.231769289701056,FALSE
"Chaco","Resto",15.748984252977873,58.67380205094113,26.841594889835946,FALSE
"Chubut","Pesca",4.052340705948443,15.225171792781712,26.61605899166055,FALSE
"Mendoza","Comercio mayorista, minorista y reparaciones",5.134964931742002,20.103158159823707,25.543075823798983,FALSE
"Corrientes","Comercio mayorista, minorista y reparaciones",13.836478700312444,55.70285094507139,24.83980346707317,FALSE
"Formosa","Comunicaciones",8.701182716978757,35.35088660793093,24.61376093188751,FALSE
"Jujuy","Comunicaciones",15.348942953710305,66.1798763146217,23.192764641536705,FALSE
"San Luis","Agricultura, ganaderia, caza y servicios conexos",5.575770782637214,24.249769947274523,22.993087335510516,FALSE
"Cordoba","Comercio mayorista, minorista y reparaciones",12.306338891975486,55.33898694619887,22.23809934204223,FALSE
"Santa Fe","Comercio mayorista, minorista y reparaciones",7.317914192291997,37.43205803965508,19.54985799749371,FALSE
"Salta","Comercio mayorista, minorista y reparaciones",10.227921107433048,52.3324958928483,19.544111040250968,FALSE
"Rio Negro","Comercio mayorista, minorista y reparaciones",8.54417499615855,44.781201844109184,19.079825114793135,FALSE
"Buenos Aires","Comercio mayorista, minorista y reparaciones",7.488596892946093,41.82395493565678,17.905042467807682,FALSE
"Tucuman","Comercio mayorista, minorista y reparaciones",8.86086090293001,50.1437495839054,17.67091806348298,FALSE
"La Rioja","Restaurantes, bares y cantinas",4.449666850819091,27.694325855697155,16.06707046780749,FALSE
"Misiones","Generación captación y distribución de energía eléctrica",6.26014014771428,39.4632227140622,15.86322585226564,FALSE
"Catamarca","Administración pública y defensa; Planes de seguridad social de afiliación obligatoria",7.576446638462429,-0.6654507549463395,-1138.5435484363343,FALSE
