"anio","provincia","vab_ext","vab_ext_nac","share_ext"
2004,"Chubut",3399.7511879552603,24321.80581929455,13.97820216646179
2024,"Chubut",2852.733136925261,27649.31642024928,10.317553944429637
2004,"Neuquen",7645.974138589636,24321.80581929455,31.436704146877386
2024,"Neuquen",14567.14631719582,27649.31642024928,52.68537599912384
2004,"Rio Negro",952.0166665538159,24321.80581929455,3.9142515717257256
2024,"Rio Negro",751.9351508435013,27649.31642024928,2.719543367418709
2004,"Santa Cruz",4269.023631701238,24321.80581929455,17.55224781999785
2024,"Santa Cruz",3098.3126626336057,27649.31642024928,11.205747786099053
2004,"Tierra del Fuego",887.5295658391245,24321.80581929455,3.64911048313298
2024,"Tierra del Fuego",305.5218651276956,27649.31642024928,1.1049888557242715
