"provincia","region","Y2004","Y2024","delta_ext"
"Neuquen","Patagonia",31.436704146877386,52.68537599912384,21.248671852246456
"Santa Cruz","Patagonia",17.55224781999785,11.205747786099053,-6.346500033898796
"Chubut","Patagonia",13.97820216646179,10.317553944429637,-3.660648222032153
"Mendoza","Cuyo",10.65356336693452,5.38061914041457,-5.27294422651995
"San Juan","Cuyo",0.2862532720959549,3.7515647978172737,3.4653115257213187
"Ciudad de Buenos Aires","CABA",3.3287057818516055,3.21591679909001,-0.11278898276159532
"Rio Negro","Patagonia",3.9142515717257256,2.719543367418709,-1.1947082043070165
"Buenos Aires","Pampeana",1.419009032942058,2.1185862738203416,0.6995772408782837
"Salta","NOA",3.9337093652866697,1.7170425027641016,-2.216666862522568
"Jujuy","NOA",0.131955203044446,1.6899935122473824,1.5580383092029364
"La Pampa","Pampeana",1.645592898923286,1.5603664672969437,-0.08522643162634225
"Catamarca","NOA",6.86408431904187,1.3428037631851168,-5.5212805558567535
"Tierra del Fuego","Patagonia",3.64911048313298,1.1049888557242715,-2.5441216274087086
"Cordoba","Pampeana",0.37942569902559903,0.4453368431730635,0.06591114414746446
"San Luis","Cuyo",0.1841896344568024,0.24458900026762143,0.06039936581081903
"Santa Fe","Pampeana",0.12574444988284278,0.14499620500064805,0.019251755117805275
"Entre Rios","Pampeana",0.11551876865732631,0.10658604264606202,-0.008932726011264297
"Misiones","NEA",0.038010083053810755,0.06740329958314419,0.02939321652933343
"Formosa","NEA",0.24667311193564764,0.0546746980563653,-0.19199841387928235
"Corrientes","NEA",0.03438734732522588,0.040044603266745804,0.0056572559415199244
"Santiago del Estero","NOA",0.01180292476436796,0.0373354341717618,0.02553250940739384
"La Rioja","NOA",0.02074527107952282,0.020734929153365122,-1.034192615769966e-5
"Tucuman","NOA",0.035798047829054574,0.01412333219697065,-0.021674715632083924
"Chaco","NEA",0.014315233673663427,0.014072403053003038,-2.4283062066038884e-4
