"provincia","sector","vab_mill"
"Buenos Aires","Comercio mayorista, minorista y reparaciones",28859
"Ciudad de Buenos Aires","Resto",21271
"Buenos Aires","Propiedad de la vivienda*",15856
"Ciudad de Buenos Aires","Comercio mayorista, minorista y reparaciones",15365
"Buenos Aires","Agricultura, ganaderia, caza y servicios conexos",14890
"Neuquen","Extracción de carbón y lignito; extracción de turba. Extracción de petróleo crudo y gas natural; actividades de servicios relacionadas con la extracción de petróleo y gas, excepto las actividades de prospección.",14507
"Buenos Aires","Elaboración de productos alimenticios y bebidas",12126
"Buenos Aires","Fabricación de sustancias y productos químicos",11190
"Buenos Aires","Comunicaciones",10335
"Cordoba","Agricultura, ganaderia, caza y servicios conexos",10067
